Time(s),LateralError(m),ControlOutput(u),VehiclePosX(m),ReferencePosX(m),VehicleGlobalX,VehicleGlobalZ,TargetGlobalX,TargetGlobalZ
243.7999,-0.0055,-0.0610,-0.0055,0.0000,164.9210,-84.2183,165.1198,-84.2206
243.8199,-0.0113,0.1539,-0.0113,0.0000,164.7212,-84.2103,164.9128,-84.2105
243.8399,-0.0117,0.0951,-0.0117,0.0000,164.5214,-84.2015,164.7288,-84.2015
243.8599,-0.0116,0.0532,-0.0116,0.0000,164.3216,-84.1921,164.5167,-84.1909
243.8799,-0.0131,0.0838,-0.0131,0.0000,164.1218,-84.1819,164.3151,-84.1807
243.8999,-0.0111,-0.0078,-0.0111,0.0000,163.9221,-84.1717,164.1232,-84.1709
243.9199,-0.0128,0.0626,-0.0128,0.0000,163.7224,-84.1609,163.9289,-84.1608
243.9399,-0.0162,0.1463,-0.0162,0.0000,163.5228,-84.1486,163.7351,-84.1507
243.9599,-0.0117,-0.0510,-0.0117,0.0000,163.3232,-84.1358,163.5160,-84.1391
243.9799,-0.0071,-0.1446,-0.0071,0.0000,163.1236,-84.1232,163.3224,-84.1288
243.9999,-0.0181,0.2749,-0.0181,0.0000,162.9240,-84.1101,163.1065,-84.1171
244.0199,-0.0076,-0.1712,-0.0076,0.0000,162.7244,-84.0971,162.9311,-84.1075
244.0399,-0.0055,-0.1257,-0.0055,0.0000,162.5248,-84.0853,162.7299,-84.0964
244.0599,-0.0032,-0.1168,-0.0032,0.0000,162.3251,-84.0746,162.5280,-84.0851
244.0799,-0.0020,-0.0822,-0.0020,0.0000,162.1253,-84.0647,162.3269,-84.0737
244.0999,-0.0091,0.1792,-0.0091,0.0000,161.9256,-84.0547,162.1342,-84.0627
244.1199,-0.0082,0.0643,-0.0082,0.0000,161.7258,-84.0442,161.9187,-84.0503
244.1399,-0.0059,-0.0295,-0.0059,0.0000,161.5261,-84.0338,161.7232,-84.0390
244.1599,-0.0169,0.3245,-0.0169,0.0000,161.3264,-84.0229,161.5421,-84.0283
244.1799,-0.0150,0.1091,-0.0150,0.0000,161.1268,-84.0108,161.3137,-84.0148
244.1999,-0.0103,-0.0755,-0.0103,0.0000,160.9272,-83.9985,161.1199,-84.0032
244.2199,-0.0072,-0.1128,-0.0072,0.0000,160.7275,-83.9869,160.9289,-83.9916
244.2399,-0.0075,-0.0284,-0.0075,0.0000,160.5278,-83.9755,160.7283,-83.9794
244.2599,-0.0108,0.0945,-0.0108,0.0000,160.3282,-83.9635,160.5350,-83.9675
244.2799,-0.0106,0.0510,-0.0106,0.0000,160.1286,-83.9511,160.3345,-83.9550
244.2999,-0.0093,-0.0030,-0.0093,0.0000,159.9290,-83.9387,160.1267,-83.9420
244.3199,-0.0101,0.0355,-0.0101,0.0000,159.7294,-83.9259,159.9338,-83.9298
244.3399,-0.0143,0.1547,-0.0143,0.0000,159.5299,-83.9119,159.7189,-83.9161
244.3599,-0.0080,-0.1005,-0.0080,0.0000,159.3304,-83.8976,159.5297,-83.9039
