Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
232.9999,0.0225,0.0658,0.0225,0.0000,-0.0450,0.0189,0.0919,2.3045,348.7706,-38.5352,348.9402,-38.6513
233.0199,0.0263,-0.1003,0.0263,0.0000,-0.0527,0.0189,-0.0665,-0.6955,348.5943,-38.4408,348.7479,-38.5487
233.0399,0.0232,0.0293,0.0232,0.0000,-0.0465,0.0188,0.0569,1.0252,348.4181,-38.3461,348.5854,-38.4622
233.0599,0.0287,-0.1666,0.0287,0.0000,-0.0575,0.0188,-0.1279,-1.9747,348.2417,-38.2518,348.3932,-38.3604
233.0799,0.0310,-0.1642,0.0310,0.0000,-0.0621,0.0187,-0.1209,-4.9747,348.0648,-38.1585,348.2141,-38.2660
233.0999,0.0258,0.0599,0.0258,0.0000,-0.0516,0.0187,0.0928,-1.9747,347.8877,-38.0656,348.0512,-38.1804
233.1199,0.0307,-0.1398,0.0307,0.0000,-0.0615,0.0186,-0.0969,-4.8928,347.7101,-37.9737,347.8610,-38.0810
233.1399,0.0257,0.0638,0.0257,0.0000,-0.0515,0.0185,0.0967,-1.8928,347.5322,-37.8821,347.6947,-37.9943
233.1599,0.0261,0.0002,0.0261,0.0000,-0.0521,0.0185,0.0338,0.0064,347.3544,-37.7906,347.5137,-37.9004
233.1799,0.0250,0.0124,0.0250,0.0000,-0.0500,0.0184,0.0440,0.4332,347.1766,-37.6989,347.3388,-37.8101
233.1999,0.0291,-0.1337,0.0291,0.0000,-0.0582,0.0184,-0.0939,-2.5668,346.9986,-37.6078,347.1790,-37.7279
233.2199,0.0263,0.0004,0.0263,0.0000,-0.0527,0.0183,0.0347,0.0134,346.8206,-37.5167,346.9792,-37.6257
233.2399,0.0251,0.0185,0.0251,0.0000,-0.0502,0.0183,0.0504,0.6482,346.6426,-37.4254,346.8085,-37.5387
233.2599,0.0297,-0.1468,0.0297,0.0000,-0.0594,0.0182,-0.1057,-2.3518,346.4644,-37.3346,346.6437,-37.4551
233.2799,0.0267,0.0016,0.0267,0.0000,-0.0534,0.0182,0.0368,0.0565,346.2862,-37.2438,346.4538,-37.3591
233.2999,0.0290,-0.0889,0.0290,0.0000,-0.0580,0.0181,-0.0490,-2.9435,346.1077,-37.1536,346.2661,-37.2648
233.3199,0.0290,-0.0610,0.0290,0.0000,-0.0580,0.0181,-0.0210,-2.1338,345.9290,-37.0638,346.0904,-37.1769
233.3399,0.0301,-0.0827,0.0301,0.0000,-0.0602,0.0180,-0.0405,-2.8961,345.7500,-36.9746,345.9096,-37.0869
233.3599,0.0299,-0.0543,0.0299,0.0000,-0.0598,0.0179,-0.0124,-1.9009,345.5708,-36.8858,345.7338,-36.9997
233.3799,0.0326,-0.1284,0.0326,0.0000,-0.0653,0.0179,-0.0810,-4.4933,345.3912,-36.7978,345.5463,-36.9073
233.3999,0.0332,-0.0991,0.0332,0.0000,-0.0663,0.0178,-0.0506,-3.4696,345.2112,-36.7106,345.3908,-36.8310
233.4199,0.0303,0.0134,0.0303,0.0000,-0.0607,0.0177,0.0563,-0.4696,345.0312,-36.6234,345.1915,-36.7336
233.4399,0.0292,0.0171,0.0292,0.0000,-0.0583,0.0177,0.0577,0.5978,344.8512,-36.5362,345.0206,-36.6506
233.4599,0.0350,-0.1908,0.0350,0.0000,-0.0701,0.0176,-0.1383,-2.4022,344.6710,-36.4494,344.8558,-36.5709
233.4799,0.0296,0.0490,0.0296,0.0000,-0.0592,0.0176,0.0906,0.5978,344.4909,-36.3625,344.6613,-36.4773
233.4999,0.0315,-0.0577,0.0315,0.0000,-0.0629,0.0175,-0.0123,-2.0208,344.3105,-36.2760,344.4864,-36.3937
233.5199,0.0319,-0.0637,0.0319,0.0000,-0.0638,0.0174,-0.0173,-2.2295,344.1300,-36.1900,344.3054,-36.3075
233.5399,0.0327,-0.0769,0.0327,0.0000,-0.0653,0.0174,-0.0289,-2.6907,343.9492,-36.1045,344.1079,-36.2141
233.5599,0.0319,-0.0387,0.0319,0.0000,-0.0638,0.0173,0.0079,-1.3540,343.7682,-36.0193,343.9313,-36.1309
233.5799,0.0322,-0.0527,0.0322,0.0000,-0.0645,0.0172,-0.0055,-1.8458,343.5871,-35.9344,343.7511,-36.0465
233.5999,0.0335,-0.0869,0.0335,0.0000,-0.0670,0.0172,-0.0371,-3.0414,343.4057,-35.8502,343.5809,-35.9673
233.6199,0.0345,-0.0968,0.0345,0.0000,-0.0690,0.0171,-0.0448,-3.3863,343.2240,-35.7666,343.3820,-35.8752
233.6399,0.0369,-0.1435,0.0369,0.0000,-0.0738,0.0170,-0.0867,-5.0222,343.0418,-35.6841,343.2262,-35.8035
233.6599,0.0330,0.0226,0.0330,0.0000,-0.0659,0.0170,0.0715,-2.0222,342.8595,-35.6020,343.0208,-35.7094
233.6799,0.0326,-0.0057,0.0326,0.0000,-0.0651,0.0169,0.0425,-0.1997,342.6771,-35.5199,342.8558,-35.6344
233.6999,0.0308,0.0225,0.0308,0.0000,-0.0617,0.0168,0.0673,0.7869,342.4948,-35.4377,342.6612,-35.5463
233.7199,0.0312,-0.0274,0.0312,0.0000,-0.0625,0.0168,0.0183,-0.9594,342.3124,-35.3557,342.4775,-35.4638
233.7399,0.0319,-0.0585,0.0319,0.0000,-0.0639,0.0167,-0.0113,-2.0482,342.1298,-35.2741,342.3055,-35.3869
233.7599,0.0333,-0.0917,0.0333,0.0000,-0.0665,0.0166,-0.0418,-3.2082,341.9469,-35.1931,342.1079,-35.2991
233.7799,0.0321,-0.0335,0.0321,0.0000,-0.0642,0.0166,0.0141,-1.1730,341.7639,-35.1124,341.9313,-35.2211
233.7999,0.0323,-0.0491,0.0323,0.0000,-0.0647,0.0165,-0.0009,-1.7185,341.5808,-35.0320,341.7510,-35.1420
233.8199,0.0359,-0.1535,0.0359,0.0000,-0.0717,0.0164,-0.0982,-4.7185,341.3972,-34.9526,341.5809,-35.0679
233.8399,0.0335,-0.0285,0.0335,0.0000,-0.0670,0.0164,0.0221,-1.7185,341.2135,-34.8736,341.3907,-34.9855
233.8599,0.0342,-0.0628,0.0342,0.0000,-0.0685,0.0163,-0.0106,-2.1979,341.0296,-34.7950,341.1914,-34.8997
233.8799,0.0330,-0.0204,0.0330,0.0000,-0.0660,0.0162,0.0294,-0.7139,340.8456,-34.7165,341.0207,-34.8267
233.8999,0.0354,-0.1092,0.0354,0.0000,-0.0709,0.0162,-0.0545,-3.7139,340.6613,-34.6388,340.8210,-34.7420
233.9199,0.0334,-0.0185,0.0334,0.0000,-0.0668,0.0161,0.0322,-0.7139,340.4770,-34.5613,340.6438,-34.6673
233.9399,0.0359,-0.1119,0.0359,0.0000,-0.0719,0.0160,-0.0560,-3.7139,340.2923,-34.4845,340.4517,-34.5868
233.9599,0.0345,-0.0383,0.0345,0.0000,-0.0690,0.0160,0.0147,-1.3413,340.1075,-34.4080,340.2881,-34.5188
233.9799,0.0338,-0.0239,0.0338,0.0000,-0.0675,0.0159,0.0277,-0.8380,339.9226,-34.3317,340.0905,-34.4372
